"","Accession","Seed color","Tipburn","Height (cm)","Bolting time (days)","Leaf color","Leaf shape","Leaf margin","Leaf wrinkle","Leaf thickness","Twisted vein","Leaf blister","Degree of heading","Damaged leaf"
"244",244,"dark brown","NA","NA","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"245",245,"dark brown","NA","120","89","dark green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"246",246,"dark brown","NA","120","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"247",247,"dark brown","normal","120","80","dark green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"248",248,"white","normal","150","69","dark green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"249",249,"black","normal","140","79","dark green","ovate","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"250",250,"dark brown","normal","90","80","green","ovate","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"251",251,"dark brown","normal","NA","49","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"252",252,"white","normal","130","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"253",253,"dark brown","normal","190","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"254",254,"light brown","normal","145","79","green","orbicular","serrate","slight wrinkle","thick","Yes","slight blister","heading","No"
"255",255,"white","normal","100","69","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"256",256,"white","normal","130","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"257",257,"white","normal","140","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"258",258,"dark brown","normal","100","75","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"259",259,"light brown","tipburn","130","81","light green","orbicular","serrate","slight wrinkle","normal","No","blister","closed heading","Yes"
"260",260,"dark brown","normal","150","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"261",261,"dark brown","normal","150","68","green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","No"
"262",262,"black","normal","160","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"263",263,"white","normal","NA","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"264",264,"white","normal","160","83","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"265",265,"light brown","normal","150","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"266",266,"black","normal","180","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"267",267,"white","normal","130","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"268",268,"white","normal","130","75","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"269",269,"white","NA","160","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"270",270,"white","slight tipburn","100","70","light green","ovate","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"271",271,"white","normal","110","75","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"272",272,"black","slight tipburn","170","69","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"273",273,"dark brown","normal","150","69","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"274",274,"dark brown","normal","150","83","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"275",275,"dark brown","normal","170","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"276",276,"white","normal","180","64","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"277",277,"dark brown","normal","180","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"278",278,"dark brown","normal","150","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"279",279,"dark brown","normal","160","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"280",280,"black","NA","160","68","green","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","No"
"281",281,"black","NA","140","81","dark green","oblong","serrate","smooth","normal","No","smooth","loose leaf","No"
"282",282,"black","normal","130","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"283",283,"light brown","normal","140","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"284",284,"dark brown","normal","100","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"285",285,"light brown","normal","155","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"286",286,"light brown","normal","150","49","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"287",287,"dark brown","normal","110","83","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"288",288,"light brown","normal","150","54","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","loose leaf","No"
"289",289,"light brown","normal","140","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"290",290,"white","normal","130","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"291",291,"light brown","normal","170","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"292",292,"black","normal","160","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"293",293,"white","normal","150","75","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"294",294,"white","normal","0","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"295",295,"light brown","normal","170","70","light green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"296",296,"light brown","NA","150","85","light green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"297",297,"dark brown","normal","130","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"298",298,"light brown","normal","160","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"299",299,"white","slight tipburn","145","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","Yes"
"300",300,"black","tipburn","120","63","light green","orbicular","serrate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"301",301,"dark brown","normal","120","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"302",302,"white","normal","90","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"303",303,"black","normal","90","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"304",304,"dark brown","normal","105","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"305",305,"white","normal","130","70","green","oblong","crenate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"306",306,"white","normal","NA","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"307",307,"light brown","normal","140","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"308",308,"white","normal","150","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"309",309,"light brown","normal","90","79","light green","orbicular","serrate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"310",310,"black","normal","105","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"311",311,"black","normal","105","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"312",312,"black","normal","110","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"313",313,"white","normal","160","75","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"314",314,"dark brown","normal","140","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"315",315,"white","normal","120","81","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"316",316,"dark brown","normal","150","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"317",317,"black","normal","150","69","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"318",318,"black","normal","190","70","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"319",319,"white","tipburn","110","49","light green","orbicular","serrate","slight wrinkle","normal","No","blister","closed heading","Yes"
"320",320,"light brown","tipburn","130","49","light green","orbicular","serrate","slight wrinkle","normal","No","blister","closed heading","Yes"
"321",321,"dark brown","normal","150","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"322",322,"black","normal","NA","NA","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"323",323,"white","tipburn","90","69","light green","orbicular","serrate","slight wrinkle","normal","No","blister","closed heading","Yes"
"324",324,"dark brown","NA","120","68","light green","ovate","serrate","wrinkle","normal","No","slight blister","loose leaf","Yes"
"325",325,"white","normal","140","64","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"326",326,"black","normal","160","85","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"327",327,"light brown","NA","130","81","green","oblong","crenate","slight wrinkle","normal","No","slight blister","closed heading","No"
"328",328,"light brown","tipburn","160","81","green","ovate","serrate","slight wrinkle","normal","Yes","slight blister","loose leaf","Yes"
"329",329,"white","tipburn","130","54","light green","orbicular","serrate","slight wrinkle","normal","No","blister","closed heading","Yes"
"330",330,"light brown","tipburn","100","71","light green","orbicular","serrate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"331",331,"white","tipburn","130","81","light green","orbicular","serrate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"332",332,"dark brown","normal","90","92","dark green","orbicular","serrate","slight wrinkle","normal","No","slight blister","closed heading","No"
"333",333,"dark brown","slight tipburn","120","79","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"334",334,"white","normal","100","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"335",335,"white","normal","125","89","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","No"
"336",336,"black","slight tipburn","130","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"337",337,"light brown","slight tipburn","125","71","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"338",338,"light brown","normal","155","80","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"339",339,"black","normal","150","75","green","orbicular","serrate","slight wrinkle","normal","Yes","slight blister","heading","Yes"
"340",340,"light brown","normal","105","80","green","ovate","serrate","slight wrinkle","normal","No","slight blister","closed heading","No"
"341",341,"NA","normal","130","81","green","orbicular","serrate","smooth","normal","Yes","slight blister","heading","Yes"
"342",342,"NA","NA","100","80","green","orbicular","serrate","smooth","normal","Yes","slight blister","heading","Yes"
"343",343,"NA","NA","130","79","green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"344",344,"black","NA","NA","89","dark green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"345",345,"light brown","NA","NA","64","light green","ovate","entire","slight wrinkle","normal","No","blister","closed heading","Yes"
"346",346,"light brown","NA","NA","49","light green","oblong","entire","smooth","normal","No","smooth","loose leaf","Yes"
"347",347,"light brown","NA","NA","64","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"348",348,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"349",349,"black","NA","NA","83","light green","oblong","entire","smooth","normal","No","smooth","loose leaf","Yes"
"350",350,"black","NA","NA","54","green","oblong","serrate","smooth","thick","No","slight blister","loose leaf","Yes"
"351",351,"black","NA","NA","64","green","lanceolate","dissected","smooth","thick","No","smooth","loose leaf","Yes"
"352",352,"black","NA","NA","54","green","oblong","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"353",353,"black","NA","NA","63","light green","ovate","laciniate","smooth","normal","No","slight blister","loose leaf","Yes"
"354",354,"white","NA","NA","54","light green","oblong","entire","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"355",355,"black","NA","NA","49","dark green","ovate","entire","slight wrinkle","normal","No","blister","loose leaf","Yes"
"356",356,"light brown","NA","NA","64","green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"357",357,"black","NA","NA","49","green","oblong","entire","smooth","thick","No","smooth","closed heading","Yes"
"358",358,"light brown","NA","NA","54","light green","ovate","serrate","slight wrinkle","thin","No","slight blister","loose leaf","Yes"
"359",359,"black","NA","NA","54","green","oblong","serrate","smooth","normal","No","slight blister","loose leaf","Yes"
"360",360,"black","NA","NA","64","light green","lanceolate","dissected","smooth","normal","No","slight blister","loose leaf","Yes"
"361",361,"black","NA","NA","64","dark green","oblong","entire","slight wrinkle","normal","No","blister","loose leaf","Yes"
"362",362,"black","NA","NA","64","green","ovate","serrate","smooth","normal","No","slight blister","loose leaf","Yes"
"363",363,"black","NA","NA","54","light green","ovate","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"364",364,"light brown","NA","NA","63","green","ovate","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"365",365,"black","NA","NA","68","light green","ovate","laciniate","smooth","normal","No","smooth","loose leaf","Yes"
"366",366,"light brown","NA","NA","64","light purple","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"367",367,"light brown","NA","NA","64","light purple","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"368",368,"black","NA","NA","63","green","ovate","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"369",369,"black","NA","NA","64","light purple","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"370",370,"light brown","NA","NA","80","light purple","ovate","serrate","slight wrinkle","normal","No","blister","closed heading","Yes"
"371",371,"light brown","NA","NA","81","green","ovate","entire","slight wrinkle","normal","No","blister","loose leaf","Yes"
"372",372,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"373",373,"black","NA","NA","63","green","ovate","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"374",374,"black","NA","NA","80","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"375",375,"white","NA","NA","54","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"376",376,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"377",377,"black","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"378",378,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"379",379,"black","NA","NA","63","light green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"380",380,"black","NA","NA","64","green","ovate","serrate","smooth","normal","No","slight blister","closed heading","Yes"
"381",381,"light brown","NA","NA","49","green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","Yes"
"382",382,"black","NA","NA","64","green","oblong","crenate","smooth","thick","No","slight blister","loose leaf","Yes"
"383",383,"black","NA","NA","64","dark green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
"384",384,"white","NA","NA","63","light green","ovate","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"385",385,"black","NA","NA","64","green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"386",386,"light brown","NA","NA","70","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"387",387,"white","NA","NA","49","green","ovate","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"388",388,"light brown","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"389",389,"black","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"390",390,"black","NA","NA","64","light green","ovate","serrate","smooth","normal","No","slight blister","loose leaf","No"
"391",391,"light brown","NA","NA","64","green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"392",392,"light brown","NA","NA","79","light green","lanceolate","dissected","smooth","normal","No","slight blister","loose leaf","Yes"
"393",393,"black","NA","NA","54","light green","ovate","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"394",394,"black","NA","NA","64","light green","ovate","serrate","slight wrinkle","thick","No","blister","loose leaf","Yes"
"395",395,"light brown","NA","NA","64","green","oblong","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"396",396,"light brown","NA","NA","63","dark green","oblong","entire","slight wrinkle","thick","No","blister","closed heading","Yes"
"397",397,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
"398",398,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"399",399,"light brown","NA","NA","54","dark green","ovate","serrate","wrinkle","normal","No","slight blister","loose leaf","Yes"
"400",400,"black","NA","NA","63","dark green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"401",401,"black","NA","NA","49","green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","Yes"
"402",402,"light brown","NA","NA","63","light green","ovate","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"403",403,"dark brown","NA","NA","64","green","ovate","crenate","smooth","normal","No","slight blister","closed heading","Yes"
"404",404,"black","NA","NA","63","dark green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"405",405,"black","NA","NA","63","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
"406",406,"light brown","NA","NA","63","light green","ovate","serrate","smooth","thick","No","blister","loose leaf","Yes"
"407",407,"black","NA","NA","85","green","lanceolate","dissected","smooth","normal","No","slight blister","loose leaf","Yes"
"408",408,"light brown","NA","NA","64","green","ovate","serrate","slight wrinkle","thick","No","slight blister","loose leaf","Yes"
"409",409,"black","NA","NA","49","dark green","lanceolate","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"410",410,"black","NA","NA","71","light green","ovate","laciniate","slight wrinkle","thin","No","slight blister","loose leaf","Yes"
"411",411,"light brown","NA","NA","54","green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","No"
"412",412,"light brown","NA","NA","49","green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","No"
"413",413,"black","NA","NA","64","light green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","No"
"414",414,"black","NA","NA","71","light purple","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"415",415,"black","NA","NA","64","light purple","lanceolate","dissected","smooth","normal","No","smooth","loose leaf","Yes"
"416",416,"black","NA","NA","64","green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
"417",417,"black","NA","NA","70","green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"418",418,"black","NA","NA","49","light green","oblong","entire","smooth","normal","No","slight blister","closed heading","Yes"
"419",419,"black","NA","NA","64","light green","ovate","entire","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"420",420,"black","NA","NA","58","dark green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"421",421,"light brown","NA","NA","58","light green","oblong","serrate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"422",422,"light brown","NA","NA","63","green","oblong","entire","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"423",423,"black","NA","NA","63","dark green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","No"
"424",424,"white","NA","NA","80","green","orbicular","serrate","smooth","normal","Yes","slight blister","heading","Yes"
"425",425,"light brown","NA","NA","70","green","oblong","serrate","smooth","normal","No","slight blister","loose leaf","Yes"
"426",426,"white","NA","NA","70","light green","ovate","entire","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"427",427,"dark brown","NA","NA","63","green","oblong","entire","slight wrinkle","normal","No","blister","loose leaf","Yes"
"428",428,"light brown","NA","NA","NA","green","oblong","crenate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"429",429,"black","NA","NA","63","green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"430",430,"white","NA","NA","64","light green","oblong","crenate","smooth","normal","No","smooth","closed heading","Yes"
"431",431,"black","NA","NA","64","green","oblong","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"432",432,"dark brown","NA","NA","58","green","oblong","entire","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"433",433,"light brown","NA","NA","58","green","ovate","serrate","smooth","normal","No","slight blister","loose leaf","Yes"
"434",434,"dark brown","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","No"
"435",435,"black","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","No"
"436",436,"black","NA","NA","68","light green","oblong","crenate","smooth","normal","No","blister","loose leaf","Yes"
"437",437,"dark brown","NA","NA","69","green","oblong","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"438",438,"dark brown","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","No"
"439",439,"light brown","NA","NA","69","green","ovate","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"440",440,"light brown","NA","NA","63","dark green","ovate","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"441",441,"black","NA","NA","63","light green","oblong","crenate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"442",442,"light brown","NA","NA","70","light green","oblong","crenate","smooth","normal","No","smooth","closed heading","Yes"
"443",443,"black","NA","NA","54","light green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"444",444,"black","NA","NA","58","green","ovate","serrate","slight wrinkle","normal","No","blister","loose leaf","Yes"
"445",445,"black","NA","NA","63","green","ovate","serrate","smooth","normal","No","slight blister","loose leaf","Yes"
"446",446,"white","NA","NA","63","light green","ovate","crenate","smooth","normal","No","slight blister","loose leaf","Yes"
"447",447,"light brown","NA","NA","63","green","ovate","entire","slight wrinkle","normal","No","blister","loose leaf","Yes"
"448",448,"light brown","NA","NA","49","green","oblong","entire","wrinkle","normal","Yes","slight blister","heading","Yes"
"449",449,"black","NA","NA","63","light green","oblong","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"450",450,"black","NA","NA","54","dark green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"451",451,"black","NA","NA","54","green","oblong","crenate","smooth","normal","No","smooth","loose leaf","No"
"452",452,"white","NA","NA","54","light green","oblong","entire","smooth","normal","No","slight blister","closed heading","No"
"453",453,"light brown","NA","NA","64","green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","Yes"
"454",454,"light brown","NA","NA","63","green","oblong","serrate","smooth","normal","No","blister","loose leaf","Yes"
"455",455,"dark brown","NA","NA","63","green","orbicular","entire","smooth","normal","No","slight blister","closed heading","Yes"
"456",456,"light brown","NA","NA","70","green","oblong","crenate","smooth","normal","No","slight blister","loose leaf","Yes"
"457",457,"light brown","NA","NA","54","green","oblong","crenate","slight wrinkle","normal","No","slight blister","loose leaf","Yes"
"458",458,"black","NA","NA","63","dark green","oblong","serrate","slight wrinkle","thick","No","blister","loose leaf","Yes"
"459",459,"light brown","NA","NA","64","light green","ovate","serrate","smooth","normal","No","blister","loose leaf","Yes"
"460",460,"dark brown","NA","NA","49","light green","ovate","crenate","smooth","normal","No","blister","closed heading","Yes"
"461",461,"white","NA","NA","63","green","ovate","crenate","slight wrinkle","normal","No","slight blister","closed heading","Yes"
"462",462,"white","NA","NA","63","green","ovate","crenate","smooth","normal","No","blister","loose leaf","Yes"
"463",463,"white","NA","NA","63","light green","orbicular","crenate","slight wrinkle","normal","No","smooth","closed heading","Yes"
"464",464,"dark brown","NA","NA","70","green","ovate","entire","smooth","normal","No","smooth","closed heading","Yes"
"465",465,"white","NA","NA","54","dark green","oblong","entire","smooth","normal","No","slight blister","loose leaf","Yes"
"466",466,"white","NA","NA","54","green","oblong","serrate","smooth","normal","No","slight blister","loose leaf","Yes"
"467",467,"light brown","NA","NA","64","light green","ovate","entire","smooth","normal","No","blister","loose leaf","Yes"
"468",468,"light brown","NA","NA","54","green","oblong","serrate","smooth","normal","No","smooth","loose leaf","Yes"
"469",469,"light brown","NA","NA","54","green","oblong","crenate","smooth","normal","No","smooth","loose leaf","Yes"
"470",470,"light brown","NA","NA","58","green","ovate","crenate","smooth","normal","No","blister","loose leaf","Yes"
"471",471,"light brown","NA","NA","54","green","oblong","entire","smooth","normal","No","smooth","closed heading","Yes"
"472",472,"light brown","NA","NA","64","green","oblong","entire","smooth","normal","No","smooth","loose leaf","Yes"
"473",473,"light brown","NA","NA","54","green","ovate","crenate","slight wrinkle","normal","No","smooth","loose leaf","No"
"474",474,"light brown","NA","120","71","light green","ovate","serrate","slight wrinkle","thick","No","smooth","loose leaf","No"
"475",475,"light brown","NA","120","54","light green","lanceolate","dissected","smooth","thick","No","smooth","loose leaf","No"
"476",476,"dark brown","slight tipburn","170","71","green","oblong","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"477",477,"dark brown","NA","145","68","dark green","ovate","serrate","wrinkle","normal","Yes","blister","loose leaf","No"
"478",478,"black","NA","150","58","green","oblong","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
"479",479,"black","NA","150","54","green","ovate","serrate","wrinkle","normal","No","blister","loose leaf","No"
"480",480,"light brown","NA","175","49","green","oblong","entire","smooth","normal","No","blister","loose leaf","No"
"481",481,"white","NA","150","68","light green","oblong","entire","smooth","normal","No","slight blister","loose leaf","No"
"482",482,"white","NA","160","49","green","oblong","serrate","smooth","thick","No","blister","loose leaf","No"
"483",483,"light brown","NA","150","70","light green","oblong","entire","smooth","normal","No","slight blister","heading","Yes"
"484",484,"dark brown","NA","160","70","green","oblong","serrate","smooth","normal","No","slight blister","closed heading","No"
"485",485,"light brown","NA","120","61","green","oblong","serrate","smooth","normal","No","slight blister","closed heading","No"
"486",486,"light brown","NA","150","54","green","oblong","serrate","smooth","normal","No","slight blister","closed heading","No"
"487",487,"white","NA","120","54","green","oblong","serrate","smooth","normal","No","slight blister","closed heading","No"
"488",488,"dark brown","NA","170","54","green","oblong","serrate","slight wrinkle","thick","No","blister","loose leaf","No"
"489",489,"light brown","NA","180","54","green","oblong","serrate","slight wrinkle","normal","No","slight blister","heading","No"
"490",490,"light brown","NA","130","49","green","oblong","entire","smooth","normal","No","blister","loose leaf","No"
"491",491,"light brown","NA","170","49","green","oblong","entire","smooth","normal","Yes","slight blister","closed heading","Yes"
"492",492,"dark brown","NA","170","54","green","oblong","entire","smooth","normal","No","blister","loose leaf","Yes"
"493",493,"dark brown","NA","120","54","dark green","oblong","entire","slight wrinkle","normal","No","blister","heading","Yes"
"494",494,"light brown","NA","150","54","dark green","oblong","entire","slight wrinkle","normal","No","blister","heading","Yes"
"495",495,"light brown","NA","145","70","green","oblong","serrate","wrinkle","normal","No","blister","loose leaf","Yes"
"496",496,"light brown","slight tipburn","120","70","light green","orbicular","entire","slight wrinkle","normal","Yes","slight blister","closed heading","No"
"497",497,"light brown","NA","150","49","dark green","orbicular","entire","slight wrinkle","thick","Yes","slight blister","closed heading","Yes"
"498",498,"light brown","NA","155","61","green","ovate","serrate","slight wrinkle","normal","Yes","blister","loose leaf","No"
"499",499,"light brown","NA","130","64","green","oblong","entire","smooth","normal","Yes","slight blister","closed heading","Yes"
"500",500,"light brown","NA","160","49","green","oblong","entire","smooth","normal","Yes","slight blister","closed heading","No"
"501",501,"light brown","NA","160","54","green","oblong","entire","smooth","normal","Yes","slight blister","loose leaf","No"
"502",502,"light brown","NA","100","49","light green","oblong","serrate","slight wrinkle","normal","No","blister","loose leaf","No"
